stimulus,Average Estimated Depth,Standard Deviation,Standard Error,Average Trial RT,Actual Depth,Duration
depth_duration_stimuli/003338_2014-05-20_11-01-23_094959634447_rgbf000051-resize_6/003338_2014-05-20_11-01-23_094959634447_rgbf000051-resize_6-target.png,1.427344680851064,1.0283851196242437,0.15000538673055158,2589.553191489362,1.693,1000
depth_duration_stimuli/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1-target.png,1.751855,0.9703166154076567,0.1400531397761943,2260.7916666666665,1.7115,1000
depth_duration_stimuli/001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize_2/001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize_2-target.png,1.8610260869565218,1.1795670437720938,0.17391767234960667,2652.782608695652,1.7445,1000
depth_duration_stimuli/002131_2014-06-25_21-12-01_260595134347_rgbf000083-resize_0/002131_2014-06-25_21-12-01_260595134347_rgbf000083-resize_0-target.png,1.8871333333333336,1.1918375166520354,0.17202692776733694,1816.9791666666667,1.7685000000000002,1000
depth_duration_stimuli/000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize_3/000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize_3-target.png,1.68256,0.7661794742805951,0.11296700045366163,2927.413043478261,1.8030000000000002,1000
depth_duration_stimuli/002784_2014-06-22_19-26-30_094959634447_rgbf000083-resize_3/002784_2014-06-22_19-26-30_094959634447_rgbf000083-resize_3-target.png,1.67269,1.6148913346012526,0.23308948668600682,3010.1666666666665,1.8046666666667,1000
depth_duration_stimuli/000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize_1/000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize_1-target.png,1.5282666666666669,1.1806931954653512,0.1760073497087981,1907.6888888888889,1.831,1000
depth_duration_stimuli/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3-target.png,1.365392340425532,1.3357310626121608,0.1948364000913965,3396.6382978723404,1.841,1000
depth_duration_stimuli/001167_2014-06-17_15-38-07_260595134347_rgbf000108-resize_0/001167_2014-06-17_15-38-07_260595134347_rgbf000108-resize_0-target.png,1.3983755999999998,1.1652924338011903,0.16819547508493785,2016.5625,1.8505,1000
depth_duration_stimuli/001571_2014-06-20_17-21-32_260595134347_rgbf000089-resize_1/001571_2014-06-20_17-21-32_260595134347_rgbf000089-resize_1-target.png,1.4846583333333332,1.0083964417622988,0.145549489275331,1908.7291666666667,1.86,1000
depth_duration_stimuli/001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize_3/001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize_3-target.png,2.15127,1.8968894271927779,0.27379240535317634,2363.5833333333335,1.8655,1000
depth_duration_stimuli/001618_2014-06-20_11-37-31_260595134347_rgbf000027-resize_3/001618_2014-06-20_11-37-31_260595134347_rgbf000027-resize_3-target.png,1.3822139130434783,1.1760737549121811,0.17340261500668705,1924.0652173913043,1.8725,1000
depth_duration_stimuli/001289_2014-06-16_16-25-52_260595134347_rgbf000067-resize_1/001289_2014-06-16_16-25-52_260595134347_rgbf000067-resize_1-target.png,1.6963271111111111,1.5850324646927902,0.23628268917314094,2557.222222222222,1.8835,1000
depth_duration_stimuli/002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize_1/002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize_1-target.png,1.6230304347826088,1.4458522573777208,0.21317928513874496,2176.782608695652,1.8915,1000
depth_duration_stimuli/000753_2014-06-08_21-57-44_260595134347_rgbf000123-resize_3/000753_2014-06-08_21-57-44_260595134347_rgbf000123-resize_3-target.png,1.6899353191489364,0.8346466643849466,0.1217457286042563,2118.021276595745,1.916,1000
depth_duration_stimuli/002545_2014-06-24_13-38-53_094959634447_rgbf000080-resize_4/002545_2014-06-24_13-38-53_094959634447_rgbf000080-resize_4-target.png,2.227321739130435,2.8704223755718554,0.42322069004510116,1936.9565217391305,1.9205,1000
depth_duration_stimuli/001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize_3/001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize_3-target.png,0.9695565217391305,0.7153267212034182,0.10546917106410071,1883.5869565217392,1.9505,1000
depth_duration_stimuli/002468_2014-06-28_20-38-39_260595134347_rgbf000045-resize_1/002468_2014-06-28_20-38-39_260595134347_rgbf000045-resize_1-target.png,2.8638,1.696903753586564,0.2449269597305223,2749.8125,1.9560000000000002,1000
depth_duration_stimuli/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3-target.png,1.6830695652173913,1.436243797452162,0.21176259501168462,1898.304347826087,1.957,1000
depth_duration_stimuli/002875_2014-06-01_15-19-00_094959634447_rgbf000151-resize_1/002875_2014-06-01_15-19-00_094959634447_rgbf000151-resize_1-target.png,1.8422577777777778,1.3641954862730183,0.20336225612699,1950.4666666666667,1.9674999999999998,1000
depth_duration_stimuli/003228_2014-05-14_13-42-35_094959634447_rgbf000101-resize_1/003228_2014-05-14_13-42-35_094959634447_rgbf000101-resize_1-target.png,1.7120987234042555,1.5077120727282478,0.21992240866977886,2407.31914893617,1.968,1000
depth_duration_stimuli/000555_2014-06-09_22-42-23_260595134347_rgbf000037-resize_4/000555_2014-06-09_22-42-23_260595134347_rgbf000037-resize_4-target.png,1.7105625,2.0658270425250174,0.2981764497752568,2181.2708333333335,1.9765,1000
