,subjID,duration,slope,intercept,age,gender
0,541423.0,125.0,0.7414176213660979,-2.2683497746130725,28.0,Man
1,104257.0,125.0,0.5816172078605045,-1.767722907718216,34.0,Woman
2,928935.0,1000.0,0.5583362342121678,-1.693196221558319,25.0,Man
3,596417.0,1000.0,0.7546727510555683,-2.326240680585708,28.0,Man
4,480789.0,1000.0,0.2758865011952838,-0.8476520952661238,26.0,Woman
5,442049.0,250.0,0.7383784276955234,-2.2699194075150855,50.0,Man
6,102457.0,125.0,0.6180527959682168,-1.9014053264701385,40.0,Woman
7,987259.0,1000.0,0.44821710713634694,-1.3631575810974639,59.0,Man
8,603422.0,1000.0,-0.14034955188179557,0.42816042780192304,35.0,Woman
9,399605.0,1000.0,0.2297913142278607,-0.6981824767478989,-0.3396921173274236,Woman
10,386796.0,1000.0,0.15660060234603246,-0.4810494772192527,1.3233744408481336,Man
11,242505.0,125.0,-0.02859005621240273,0.09179726134990054,35.0,Woman
12,464385.0,1000.0,0.6688297300848813,-2.0525926472312945,55.0,Man
13,998162.0,1000.0,0.6830443055565092,-2.089651855334468,50.0,Woman
14,371842.0,1000.0,0.7769441331727833,-2.375654613347199,58.0,Woman
15,639734.0,1000.0,0.8164986185244213,-2.49462701272559,38.0,Man
16,723081.0,250.0,0.7220410988792697,-2.219072403609547,27.0,Man
17,529612.0,125.0,0.6992547676249198,-2.1488140320493447,36.0,Man
18,466947.0,1000.0,0.520293061601539,-1.6075527477581961,26.0,Woman
19,673972.0,250.0,0.37459889733213636,-1.147135947275659,31.0,Man
20,258486.0,125.0,0.45289582613843526,-1.3840497036394208,44.0,Woman
21,335291.0,125.0,0.6229114783406654,-1.9118563017718628,40.0,Non-binary
22,285932.0,1000.0,0.4683462894328162,-1.4329620259057518,44.0,Man
23,202325.0,125.0,0.5342526803457286,-1.6309458779630757,31.0,Man
24,834881.0,1000.0,0.4833625151522427,-1.4725527999688584,25.0,Woman
25,466779.0,125.0,0.6210681505244626,-1.9023110353208499,34.0,Man
26,948666.0,250.0,0.7127991293395841,-2.1931419135655297,29.0,Woman
27,809664.0,1000.0,0.7489505646033063,-2.3039279357600715,39.0,Man
28,381860.0,125.0,0.6128991213105821,-1.8770518989944283,48.0,Woman
29,261936.0,125.0,0.3252474858197022,-0.9930873352415278,64.0,Woman
30,572500.0,1000.0,0.6942131184990317,-2.123013498315858,30.0,Man
31,401645.0,250.0,0.03906004624456686,-0.12127392072443066,34.0,Man
32,270671.0,250.0,0.03913134635580487,-0.1144852741148493,28.0,Man
33,299359.0,250.0,0.7077713271056345,-2.1653469820950173,38.0,Man
34,655019.0,1000.0,0.7481972655023004,-2.278222267218397,44.0,Man
35,354946.0,250.0,0.7347462138011996,-2.2485268661959736,51.0,Man
36,963476.0,250.0,0.6678218522207198,-2.04843335990588,50.0,Man
37,951864.0,125.0,0.6513142161438126,-2.0199621114960644,57.0,Woman
38,507507.0,250.0,0.6762822889388587,-2.071898814177956,33.0,Man
39,194174.0,125.0,0.38022046097477,-1.1645075958761923,35.0,Woman
40,565657.0,125.0,0.09978818998825607,-0.30733221666336213,40.0,Man
41,234342.0,125.0,0.5701571526885523,-1.7393988045371627,39.0,Woman
42,739821.0,1000.0,0.5366076707141623,-1.6477839408302044,47.0,Man
43,906164.0,1000.0,0.22404688126469852,-0.6899494775673471,33.0,Woman
44,606227.0,125.0,0.727498485583919,-2.2244076946036744,44.0,Woman
45,291288.0,125.0,0.5982105221093919,-1.8279189667644327,33.0,Woman
46,471848.0,125.0,0.6307179058587339,-1.939654344807047,37.0,Man
47,493852.0,250.0,0.13131948316020808,-0.40093211780417115,25.0,Man
48,865328.0,250.0,0.5911885628328416,-1.8047280376403856,40.0,Woman
49,316861.0,125.0,0.6356189766755096,-1.9471875939569299,47.0,Woman
50,933555.0,125.0,0.2650976065363471,-0.8274997706175649,58.0,Woman
51,915317.0,250.0,-0.03486584951001157,0.1033125903388744,58.0,Man
52,523472.0,250.0,0.7963597731242884,-2.443193447068519,43.0,Man
53,460459.0,250.0,0.7599850262014609,-2.327401889352556,41.0,Man
54,826095.0,125.0,0.695691866259643,-2.1290002843706537,37.0,Woman
55,429426.0,125.0,0.6426024206634879,-1.965001561550849,64.0,Woman
56,245047.0,250.0,0.3015459702646028,-0.9326521925263561,25.0,Man
57,794958.0,250.0,0.23248448647175232,-0.708123168760165,36.0,Man
58,666293.0,125.0,0.6558798745250617,-2.0146079101377277,37.0,Man
59,568247.0,250.0,0.7455546265261657,-2.278378240476361,42.0,Man
60,287135.0,1000.0,0.1971661581910936,-0.5995094549544896,56.0,Man
61,474190.0,250.0,0.7186005085507806,-2.203818544549729,35.0,Woman
62,298355.0,125.0,0.5927841499016996,-1.813189601684262,52.0,Woman
63,632936.0,1000.0,0.6287692981826691,-1.92340004450185,25.0,Man
64,772859.0,250.0,0.6676814175482575,-2.018082052136125,28.0,Man
65,646459.0,1000.0,0.653977217817662,-1.9999719419096762,46.0,Woman
66,499021.0,1000.0,0.790626918216169,-2.4183189926241035,33.0,Man
67,445450.0,250.0,0.5407583266689365,-1.6651539350484492,44.0,Man
68,581739.0,250.0,0.7169455461790772,-2.1987736787997134,32.0,Man
69,959755.0,250.0,0.14301065099791407,-0.4392251197982617,24.0,Man
70,762610.0,125.0,0.45417394326567934,-1.3762849763029277,40.0,Man
71,975925.0,125.0,0.1968870632241497,-0.6039351162913164,42.0,Woman
72,639264.0,250.0,0.758850686312648,-2.323228850159022,37.0,Man
73,506188.0,125.0,0.6222847172918611,-1.9351377400119365,37.0,Man
