,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,experimentTime,totalTime,age,gender
1,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,2,depth_duration_stimuli/000720_2014-06-08_18-37-27_260595134347_rgbf000203-resize_4/000720_2014-06-08_18-37-27_260595134347_rgbf000203-resize_4-target.png,1000,1.558,0.9144000000000001,2714,1001,feet,750381,902117,44,Man
10,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,11,depth_duration_stimuli/001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize_2/001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize_2-target.png,1000,1.7445,1.2192,2450,1000,feet,750381,902117,44,Man
16,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,17,depth_duration_stimuli/002365_2014-06-28_20-11-21_260595134347_rgbf000102-resize_1/002365_2014-06-28_20-11-21_260595134347_rgbf000102-resize_1-target.png,1000,4.013,2.7432000000000003,4331,1001,feet,750381,902117,44,Man
21,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,22,depth_duration_stimuli/003010_2014-06-15_12-54-35_094959634447_rgbf000112-resize_0/003010_2014-06-15_12-54-35_094959634447_rgbf000112-resize_0-target.png,1000,3.1185,2.7432000000000003,9111,1000,feet,750381,902117,44,Man
22,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,23,depth_duration_stimuli/002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize_1/002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize_1-target.png,1000,4.767,2.7432000000000003,3602,1000,feet,750381,902117,44,Man
24,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,25,depth_duration_stimuli/001808_2014-06-26_20-50-58_260595134347_rgbf000029-resize_1/001808_2014-06-26_20-50-58_260595134347_rgbf000029-resize_1-target.png,1000,4.249,2.1336,4309,999,feet,750381,902117,44,Man
31,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,32,depth_duration_stimuli/002460_2014-06-28_20-35-43_260595134347_rgbf000028-resize_4/002460_2014-06-28_20-35-43_260595134347_rgbf000028-resize_4-target.png,1000,2.269,0.6096,3338,999,feet,750381,902117,44,Man
34,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,35,depth_duration_stimuli/002118_2014-06-25_20-32-08_260595134347_rgbf000078-resize_1/002118_2014-06-25_20-32-08_260595134347_rgbf000078-resize_1-target.png,1000,2.646,1.524,3842,1000,feet,750381,902117,44,Man
35,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,36,depth_duration_stimuli/000878_2014-06-08_22-52-45_260595134347_rgbf000045-resize_2/000878_2014-06-08_22-52-45_260595134347_rgbf000045-resize_2-target.png,1000,2.092,0.9144000000000001,2362,999,feet,750381,902117,44,Man
37,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,38,depth_duration_stimuli/002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize_3/002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize_3-target.png,1000,1.476,0.6096,2531,1001,feet,750381,902117,44,Man
