,subjID,gender,duration,zs_slope,raw_slope
0,541423,Man,125,0.7414176213660977,0.8635280249876018
1,104257,Woman,125,0.5816172078605047,0.3146355754699528
2,928935,Man,1000,0.5583362342121678,0.29311343918534394
3,596417,Man,1000,0.7546727510555682,1.0512555520417604
4,480789,Woman,1000,0.2758865011952838,0.03795738045425174
5,442049,Man,250,0.7383784276955234,0.9665989019655338
6,102457,Woman,125,0.6180527959682168,0.6891588485009379
7,987259,Man,1000,0.44821710713634694,0.20862757015343894
8,603422,Woman,1000,-0.14034955188179557,-0.07468652982077159
9,399605,Woman,1000,0.2297913142278607,6.750600635874891
10,386796,Man,1000,0.15660060234603246,0.9159075653459637
11,242505,Woman,125,-0.02859005621240272,-0.013938393713863514
12,464385,Man,1000,0.6688297300848813,0.8634572470405676
13,998162,Woman,1000,0.6830443055565092,0.9206423670113293
14,371842,Woman,1000,0.7769441331727835,1.000515310180499
15,639734,Man,1000,0.8164986185244213,0.7302276930861394
16,723081,Man,250,0.7220410988792697,0.4665349027793835
17,529612,Man,125,0.6992547676249197,0.5952316790709872
18,466947,Woman,1000,0.520293061601539,0.79701182061672
19,673972,Man,250,0.37459889733213647,1.0664722486995264
20,258486,Woman,125,0.45289582613843526,0.7623923099672029
21,285932,Man,1000,0.4683462894328162,0.7243417159253638
22,202325,Man,125,0.5342526803457286,0.4704776391799787
23,834881,Woman,1000,0.4833625151522427,0.3465230017281255
24,466779,Man,125,0.6210681505244626,0.4427514915993581
25,948666,Woman,250,0.7127991293395841,0.6016520890589421
26,809664,Man,1000,0.7489505646033064,0.6068705039200523
27,381860,Woman,125,0.6128991213105821,0.3480317783719932
28,261936,Woman,125,0.3252474858197021,0.26614758493789414
29,572500,Man,1000,0.6942131184990316,0.3852681688300706
30,401645,Man,250,0.03906004624456689,0.26908473471555466
31,270671,Man,250,0.03913134635580487,0.019101996704380987
32,299359,Man,250,0.7077713271056345,1.4658262547495227
33,655019,Man,1000,0.7481972655023004,0.8510521781555737
34,354946,Man,250,0.7347462138011996,0.6080403509714007
35,963476,Man,250,0.6678218522207199,0.6130091547781098
36,951864,Woman,125,0.6513142161438126,0.3807555295721708
37,507507,Man,250,0.6762822889388587,0.599907727633212
38,194174,Woman,125,0.38022046097477014,0.13667288208131073
39,565657,Man,125,0.09978818998825607,0.09542292701914344
40,234342,Woman,125,0.5701571526885524,0.25485890049229826
41,739821,Man,1000,0.5366076707141624,0.7201922409895224
42,906164,Woman,1000,0.22404688126469854,0.07223858490995554
43,606227,Woman,125,0.7274984855839188,0.6743628692329378
44,291288,Woman,125,0.5982105221093919,0.9797065029186867
45,471848,Man,125,0.6307179058587339,0.2933169392759718
46,493852,Man,250,0.13131948316020806,0.03898318039844299
47,865328,Woman,250,0.5911885628328416,0.7037069281368088
48,316861,Woman,125,0.6356189766755096,0.710146303831364
49,933555,Woman,125,0.2650976065363471,0.012670119848096014
50,915317,Man,250,-0.03486584951001159,-0.4994327901760249
51,523472,Man,250,0.7963597731242884,0.7204113200150457
52,460459,Man,250,0.7599850262014609,0.4231597957342715
53,826095,Woman,125,0.695691866259643,0.37809550010328874
54,429426,Woman,125,0.6426024206634879,0.37038052055049536
55,245047,Man,250,0.30154597026460284,0.1867406244871722
56,794958,Man,250,0.23248448647175227,0.8787555744236565
57,666293,Man,125,0.6558798745250616,1.2496602682011035
58,568247,Man,250,0.7455546265261657,0.629286397417194
59,287135,Man,1000,0.19716615819109365,0.6210113115407364
60,474190,Woman,250,0.7186005085507806,0.6762556025834056
61,298355,Woman,125,0.5927841499016996,0.7705539599859352
62,632936,Man,1000,0.6287692981826691,0.3103906970492604
63,772859,Man,250,0.6676814175482575,0.5048288279891477
64,646459,Woman,1000,0.653977217817662,0.6900536993394345
65,499021,Man,1000,0.790626918216169,0.5268449802834865
66,445450,Man,250,0.5407583266689366,0.21212595375812712
67,581739,Man,250,0.7169455461790771,0.40600042349981
68,959755,Man,250,0.14301065099791407,0.13533495410506685
69,762610,Man,125,0.45417394326567934,0.37482870089377024
70,975925,Woman,125,0.19688706322414964,0.31364897300835076
71,639264,Man,250,0.7588506863126478,0.7624410020099502
72,506188,Man,125,0.622284717291861,0.534733054781473
73,561501,Man,1000,0.47634243367134776,0.4818424271243427
74,861643,Man,125,0.1507066927944153,0.06404427046824082
75,119902,Man,1000,0.6299950098013466,3.5869263243856353
76,602527,Woman,250,0.6215447986461794,0.5417651484804473
77,965886,Woman,125,0.5288261299172408,0.28351123408320356
78,481307,Man,250,0.7459776230350427,1.3016094018126196
79,715777,Man,250,0.12135628145870549,0.07179619473416454
80,247969,Man,125,0.649051930041139,0.6027685060989416
81,917289,Man,125,0.6821407303139309,1.0961288218775689
82,438332,Man,125,0.41585558123689265,0.1706179805912138
83,191217,Woman,1000,0.7570940202577704,0.6052629871674291
84,858720,Man,125,-0.010366077277654295,-0.011974726096978456
85,506889,Man,125,0.2826694730104333,0.16042801816802568
86,270834,Woman,1000,0.08427972900779795,0.822824268386599
87,390384,Man,250,0.7033607300703,0.372918262538193
88,959126,Man,125,0.21793864313386493,0.467137751808699
89,331695,Man,125,0.29684094435936315,0.3625899114854828
90,731323,Woman,125,-0.03138779203979517,-0.021405282197284894
91,509126,Man,125,0.7570681172318796,0.6020026809924504
92,227673,Man,250,0.36432320392146117,0.9921859589045965
93,258754,Man,125,0.6557132721976212,0.9862702643323018
94,794567,Woman,1000,0.26296090405404793,0.08895057812131806
95,236755,Man,250,0.6607711889096466,1.7723796680458594
96,116870,Man,125,0.3649555791519861,0.11528632807643902
97,574189,Woman,1000,0.37327932451795226,0.15276108875262595
98,101170,Woman,125,0.24560698460306704,0.10610277548317196
99,871020,Man,1000,0.625731500591916,0.3467270166716827
