,subjID,duration,block,slope,intercept,avg_estim,age,gender
0,710814,250,1,0.3080392557523353,0.6185571126229795,1.524,44,Man
1,710814,500,1,0.47185779787622484,0.049498088511369165,1.4685818181818184,44,Man
2,710814,750,1,0.33975024115433505,0.33813062341572087,1.397,44,Man
3,710814,1000,1,0.5147716336354987,-0.01356312262234538,1.4986,44,Man
4,710814,250,2,0.25058688060755735,1.1466718936814053,1.9050000000000005,44,Man
5,710814,500,2,0.6709565586912827,-0.4114784336717052,1.4630400000000003,44,Man
6,710814,750,2,0.5960567311890883,0.18300582375553764,2.0066,44,Man
7,710814,1000,2,0.528756454389576,0.10883071374603803,1.7272,44,Man
8,710814,250,3,0.01607056580105254,1.373528404988637,1.4224000000000003,44,Man
9,710814,500,3,0.30749304205278205,0.8871303185018731,1.8288000000000004,44,Man
10,710814,750,3,0.07677807967349269,1.126603495330525,1.3461999999999998,44,Man
11,710814,1000,3,0.31373663773798705,0.9440250833116748,1.9304000000000003,44,Man
12,710814,250,4,0.8042621847350115,-0.653856831503888,1.8288000000000004,44,Man
13,710814,500,4,0.5397367313043848,0.010375140989682174,1.6764000000000001,44,Man
14,710814,750,4,0.3434875840512146,0.9345217714826057,1.9812000000000005,44,Man
15,710814,1000,4,0.7702703896677999,-0.5614710433910906,1.7018000000000002,44,Man
16,665311,250,1,0.03361890980426904,1.8431075567267448,1.9431000000000005,25,Man
17,665311,500,1,-0.23944730035273878,2.6542877290706355,1.9558000000000002,25,Man
18,665311,750,1,0.21210066542850353,1.0843455045118722,1.7018000000000004,25,Man
19,665311,1000,1,-0.015293050297915035,1.824492465931735,1.7780000000000005,25,Man
20,665311,250,2,0.33889901032195685,1.1580269214658077,2.209800000000001,25,Man
21,665311,500,2,0.304899141393218,1.2710663601738474,2.2098,25,Man
22,665311,750,2,-0.06051402323994633,2.0611598104530753,1.8842181818181822,25,Man
23,665311,1000,2,0.3269003908527641,1.8325828097935202,2.77368,25,Man
24,665311,250,3,0.11951480494957244,1.6733360703463336,2.0320000000000005,25,Man
25,665311,500,3,0.20179425332932602,1.0970890358852907,1.7272,25,Man
26,665311,750,3,0.33667274920960744,1.137170061562706,2.1844000000000006,25,Man
27,665311,1000,3,0.5299986164827607,0.6412843691173149,2.2352000000000007,25,Man
28,665311,250,4,0.02141030138595025,1.9677024860156158,2.0320000000000005,25,Man
29,665311,500,4,0.36133085790890784,0.9807055568304166,2.057400000000001,25,Man
30,665311,750,4,0.062495606969174666,1.6607982302912063,1.8542000000000003,25,Man
31,665311,1000,4,0.21663368705769126,1.4268780277999342,2.1082000000000005,25,Man
32,401808,250,1,1.1492134975746022,-0.9253061723261213,2.5492363636363637,36,Man
33,401808,500,1,0.9404380088161604,-0.4530870659894757,2.493818181818182,36,Man
34,401808,750,1,1.3190081965126212,-1.480126240488183,2.5146,36,Man
35,401808,1000,1,0.8839082661020864,-0.27702589606873174,2.272145454545455,36,Man
36,401808,250,2,0.7894220782881163,-0.2861403918371672,2.133600000000001,36,Man
37,401808,500,2,1.156539829402009,-0.9171347772665213,2.5146,36,Man
38,401808,750,2,1.0390453279335259,-0.5501957199681349,2.6416,36,Man
39,401808,1000,2,1.234854798242917,-1.239169651117097,2.4892,36,Man
40,401808,250,3,0.4943893968999031,1.047417811200989,2.5400000000000005,36,Man
41,401808,500,3,0.532076286798331,0.5126517621141677,2.1336,36,Man
42,401808,750,3,0.7470552783651877,0.07322214494673007,2.2606,36,Man
43,401808,1000,3,0.9585292406752244,-0.4450387548173822,2.5145999999999997,36,Man
44,401808,250,4,0.7742084356898247,0.04439365201510492,2.3876,36,Man
45,401808,500,4,0.8411041105523417,-0.41988524560735296,2.0574,36,Man
46,401808,750,4,0.6396440402418926,0.2519739680496118,2.2098,36,Man
47,401808,1000,4,0.894832647549791,-0.2938969199059911,2.4384,36,Man
48,811430,250,1,0.25312865015251107,0.9035569512652234,1.6459200000000003,26,Woman
49,811430,500,1,0.6081052542916915,-0.2580155043495509,1.5494,26,Woman
50,811430,750,1,0.3355692863528153,0.2214551112630263,1.246909090909091,26,Woman
51,811430,1000,1,0.5944494653654211,-0.4210617680008315,1.397,26,Woman
52,811430,250,2,0.39803408215172975,0.48498358333394975,1.6256000000000002,26,Woman
53,811430,500,2,0.5835860737532597,-0.24855503060655693,1.4478,26,Woman
54,811430,750,2,0.37501832486074,0.3762954811725452,1.5240000000000002,26,Woman
55,811430,1000,2,0.43256865776478154,-0.06197824582891487,1.2192000000000003,26,Woman
56,811430,250,3,0.39359759680534334,0.47714026725269765,1.651,26,Woman
57,811430,500,3,0.43206149294612817,0.08140714383066072,1.4223999999999999,26,Woman
58,811430,750,3,0.449565408385325,0.08251668446380833,1.4478,26,Woman
59,811430,1000,3,0.32971599548134023,0.45701110424302116,1.4962909090909091,26,Woman
60,811430,250,4,0.3402036763076,0.5559783789591366,1.6256000000000002,26,Woman
61,811430,500,4,0.46720624868219074,0.054231882199007764,1.4986000000000004,26,Woman
62,811430,750,4,0.422787459010156,0.14117783775797288,1.4223999999999999,26,Woman
63,811430,1000,4,0.6494037283229533,-0.4169165566989361,1.6071272727272727,26,Woman
64,614349,250,1,0.605263208440698,0.42239473589462095,2.1844000000000006,55,Man
65,614349,500,1,1.030263973524537,-0.7302002656650202,2.4384000000000006,55,Man
66,614349,750,1,0.8643621240837832,-0.056265062644695885,2.5146,55,Man
67,614349,1000,1,0.8189811142041803,-0.07763615855977735,2.3114000000000003,55,Man
68,614349,250,2,0.6121580128017989,0.8755277712961953,2.692400000000001,55,Man
