,subjID,duration,block,slope,intercept
0,243745,250,1,0.8334343530059803,0.055617713308758976
1,243745,500,1,1.1290940931259876,0.19883057237492574
2,243745,750,1,1.0412039722903845,0.060524326496139924
3,243745,1000,1,1.0395555383142467,1.0004068030340818
4,243745,250,2,0.8095486923263905,0.5353857336556413
5,243745,500,2,0.76021075173808,0.15489563045447907
6,243745,750,2,0.686650173031214,0.7960669594734959
7,243745,1000,2,1.3180570786826127,-0.9612961108372655
8,243745,250,3,0.91659586897965,0.3444501282056778
9,243745,500,3,1.5083843070515932,-0.93832128489395
10,243745,750,3,0.9442481743695864,0.11135829011778364
11,243745,1000,3,1.3626201731529455,-0.8814915008953275
12,243745,250,4,0.7421864206460596,0.3341807252609863
13,243745,500,4,0.9964616692832603,-0.013008119298842047
14,243745,750,4,0.9150443840015945,0.31457984421408103
15,243745,1000,4,1.3194067616402338,-0.6747966144444892
16,563901,250,1,0.660115103875061,0.32230425821700126
17,563901,500,1,0.46843704667659375,0.33651806093170245
18,563901,750,1,0.307697947939378,0.9753792888961983
19,563901,1000,1,0.7308212349956233,-0.10214963771796448
20,563901,250,2,0.25987371922576036,1.446721479725775
21,563901,500,2,0.9621487251544285,-0.32484811561579896
22,563901,750,2,0.8655615720643406,0.00018440869754154932
23,563901,1000,2,0.5908770012074273,1.0936298163696694
24,563901,250,3,0.594586579850051,0.7729217172734195
25,563901,500,3,0.9296574133578699,0.020580153737356
26,563901,750,3,1.1253384252282657,-0.6159730901375671
27,563901,1000,3,0.7988864338240261,-0.017578687974855622
28,563901,250,4,0.9921870011015923,0.5913866456924843
29,563901,500,4,1.0282205986511794,0.19319491811148293
30,563901,750,4,0.6563630666678146,0.8798133026492523
31,563901,1000,4,1.277567397713472,-0.4304413404834797
32,846649,250,1,0.6678476312464113,2.771946624186671
33,846649,500,1,0.28987872444421675,3.951492057873563
34,846649,750,1,0.045096242511372515,5.04392822102284
35,846649,1000,1,0.6445699827301885,2.773990146692766
36,846649,250,2,0.46138442822919534,4.247393777872266
37,846649,500,2,0.5280306353130675,3.7067534638299104
38,846649,750,2,0.27818915552198215,4.29043876333701
39,846649,1000,2,0.13444735081799325,5.587483783177009
40,846649,250,3,0.5202712563701821,3.8639821359369044
41,846649,500,3,0.22926184100482386,4.402222063830841
42,846649,750,3,0.8139368197540656,3.6452110252856467
43,846649,1000,3,-0.13232677100799664,6.144907193611531
44,846649,250,4,0.5634331242736491,3.6272147930023957
45,846649,500,4,0.3273299339501824,3.3468200136455586
46,846649,750,4,0.8272734823566226,2.8787639714387065
47,846649,1000,4,0.5981249824251236,4.390708984475137
48,319259,250,1,0.7531563142460643,-0.22448318846528625
49,319259,500,1,1.1642864904235657,-0.9406264612659774
50,319259,750,1,0.9007634337283402,-0.2470989872558178
51,319259,1000,1,0.6417286778378767,0.0411419716232122
52,319259,250,2,0.5648367992098348,-0.06460349777766017
53,319259,500,2,0.3648021555889876,0.5643590198937882
54,319259,750,2,0.7160497045823876,-0.40174480696186055
55,319259,1000,2,0.6518690327602129,0.0014194250878372117
56,319259,250,3,0.599442781605472,0.051174632190475355
57,319259,500,3,0.5715532787046743,-0.006180573934029265
58,319259,750,3,0.5515329336651932,0.5029970747970847
59,319259,1000,3,1.0508646458446185,-1.216738592650658
60,319259,250,4,0.48965807883470586,0.23255951919696405
61,319259,500,4,0.05078620194828939,2.060966803007043
62,319259,750,4,0.2524512251712871,1.4123200030178142
63,319259,1000,4,0.5037939102291347,0.39751047702392106
64,832052,250,1,0.3047335798214169,1.7899990441130091
65,832052,500,1,0.8428393206640372,0.10002138949261541
66,832052,750,1,0.8311187363730976,0.25061923236464656
67,832052,1000,1,0.8188795480198894,0.12452879356108104
68,832052,250,2,0.559526409834174,0.6385308412356911
69,832052,500,2,0.34090595997197687,1.3623537342142777
70,832052,750,2,0.8308698174081581,0.18913848703452052
71,832052,1000,2,0.7355643854778705,0.3097279185430124
72,832052,250,3,0.397037199590273,1.2756918845803227
73,832052,500,3,0.6269270074265294,0.4981712224250956
74,832052,750,3,0.8924488126920542,-0.07638722612033311
75,832052,1000,3,0.8817091677297473,-0.1741664325791139
76,832052,250,4,0.2816673735546226,1.3497181816636723
77,832052,500,4,0.7150331932423972,0.5666850744597571
78,832052,750,4,0.6260144077251746,1.0012224829761311
79,832052,1000,4,0.49918720104652736,0.7945857929802231
80,710719,250,1,1.0261442140289072,-0.5078704863078496
81,710719,500,1,1.259172187188067,-1.144135613639857
82,710719,750,1,1.2739331833492444,-1.3626137292094764
83,710719,1000,1,1.124716431382987,-1.4295961506135888
84,710719,250,2,0.8930960648109622,-0.5220604425356901
85,710719,500,2,0.48834047308107764,0.26498005193332874
86,710719,750,2,1.2672085772208077,-1.3913652940500034
87,710719,1000,2,1.237532705390354,-1.2774399949271675
88,710719,250,3,1.020862559671234,-1.009966928433982
89,710719,500,3,0.8631374722757723,-0.5804086889993632
