,subjID,duration,slope,intercept,age,gender
0,541423,125,0.8635280249876018,-0.10975906710237959,28,Man
1,104257,125,0.31463557546995286,0.518696892930264,34,Woman
2,928935,1000,0.2931134391853439,0.8534143639100704,25,Man
3,596417,1000,1.0512555520417604,-0.29471062256397484,28,Man
4,480789,1000,0.03795738045425175,0.24106387818856956,26,Woman
5,442049,250,0.9665989019655336,0.9123572769883741,50,Man
6,102457,125,0.6891588485009379,-0.14194740918950632,40,Woman
7,987259,1000,0.20862757015343897,0.5667739361606303,59,Man
8,603422,1000,-0.07468652982077159,1.0776507169959948,35,Woman
9,399605,1000,6.750600635874891,24.468595641264372,35,Woman
10,386796,1000,0.9159075653459637,14.446493226141817,25,Man
11,242505,125,-0.013938393713863515,0.8388377556415677,35,Woman
12,464385,1000,0.863457247040568,0.30568560346296847,55,Man
13,998162,1000,0.9206423670113295,-0.8353406177529139,50,Woman
14,371842,1000,1.000515310180499,-0.4674891307748732,58,Woman
15,639734,1000,0.7302276930861396,-0.2752129217625061,38,Man
16,723081,250,0.4665349027793835,0.4726772204021312,27,Man
17,529612,125,0.5952316790709874,0.39883921105584563,36,Man
18,466947,1000,0.79701182061672,1.1628703774252251,26,Woman
19,673972,250,1.0664722486995268,-0.7668937014711208,31,Man
20,258486,125,0.7623923099672029,-0.4691964887080933,44,Woman
21,335291,125,0.4259260112428701,0.6728999429919771,40,Non-binary
22,285932,1000,0.7243417159253638,1.945858020497358,44,Man
23,202325,125,0.47047763917997887,1.3934679671174701,31,Man
24,834881,1000,0.34652300172812545,0.9544119090955856,25,Woman
25,466779,125,0.44275149159935806,0.3632515603197506,34,Man
26,948666,250,0.6016520890589421,-0.10714326590863998,29,Woman
27,809664,1000,0.6068705039200522,0.015728160075706876,39,Man
28,381860,125,0.3480317783719933,0.36043292142102357,48,Woman
29,261936,125,0.26614758493789414,3.667496511760157,64,Woman
30,572500,1000,0.3852681688300706,-0.0750316312431003,30,Man
31,401645,250,0.26908473471555466,4.822438460581608,34,Man
32,270671,250,0.019101996704380987,1.3712238595018607,28,Man
33,361255,125,0.44210504354049085,1.0515236269779367,31,Woman
34,299359,250,1.4658262547495229,-1.5479002303187506,38,Man
35,655019,1000,0.8510521781555737,-0.3913269750537851,44,Man
36,354946,250,0.6080403509714009,0.1402203668360522,51,Man
37,963476,250,0.6130091547781099,0.32899750773361247,50,Man
38,951864,125,0.3807555295721708,0.2849860814802787,57,Woman
39,507507,250,0.599907727633212,-0.2873124190995211,33,Man
40,182081,250,1.5451365785673108,-1.1821205343064478,39,Man
41,194174,125,0.13667288208131076,0.9978331965139826,35,Woman
42,565657,125,0.09542292701914344,1.9657275038476207,40,Man
43,234342,125,0.2548589004922983,0.0421842640318163,39,Woman
44,739821,1000,0.7201922409895224,2.077065734407178,47,Man
45,906164,1000,0.07223858490995555,0.5374827511819645,33,Woman
46,606227,125,0.6743628692329378,0.08729114323587561,44,Woman
47,291288,125,0.9797065029186864,0.15457298148154308,33,Woman
48,471848,125,0.2933169392759718,0.5237682926727341,37,Man
49,493852,250,0.03898318039844302,0.6755623416580177,25,Man
50,865328,250,0.7037069281368087,0.07702508683923481,40,Woman
51,316861,125,0.710146303831364,0.43093235987360456,47,Woman
52,933555,125,0.012670119848096018,0.02857114136052772,58,Woman
53,915317,250,-0.49943279017602477,21.694558766769966,58,Man
54,523472,250,0.7204113200150459,0.16135339606220667,43,Man
55,460459,250,0.42315979573427154,-0.0004977797398233452,41,Man
56,826095,125,0.3780955001032888,0.46984769877359445,37,Woman
57,429426,125,0.37038052055049536,0.6185457033756041,64,Woman
58,245047,250,0.1867406244871721,0.9118855131224105,25,Man
59,794958,250,0.8787555744236565,-0.26054858229344324,36,Man
60,666293,125,1.2496602682011038,-1.1463981068415774,37,Man
61,568247,250,0.629286397417194,-0.3440076101904528,42,Man
62,287135,1000,0.6210113115407365,6.525818210325999,56,Man
63,474190,250,0.6762556025834054,-0.22450659026304853,35,Woman
64,298355,125,0.7705539599859353,0.3862536679922757,52,Woman
65,632936,1000,0.31039069704926053,0.9715595490330249,25,Man
66,772859,250,0.5048288279891477,0.1293488485304657,28,Man
67,646459,1000,0.6900536993394345,0.29879243869193006,46,Woman
68,499021,1000,0.5268449802834865,0.309151078072728,33,Man
69,445450,250,0.21212595375812718,0.24924885695376764,44,Man
70,581739,250,0.40600042349981,0.2649072759931901,32,Man
71,402854,125,0.305970022766233,0.7495973793312041,35,Man
72,959755,250,0.13533495410506688,2.754417087823459,24,Man
73,762610,125,0.37482870089377024,1.278492046567381,40,Man
74,975925,125,0.31364897300835076,0.3540890027041588,42,Woman
75,591908,125,0.4616413737721643,0.12474246780322806,40,Man
76,639264,250,0.7624410020099502,0.04556397835684711,37,Man
77,506188,125,0.5347330547814727,0.41186640066565006,37,Man
78,561501,1000,0.4818424271243429,0.5131611916153576,27,Man
79,861643,125,0.06404427046824081,1.0054600290849243,36,Man
80,119902,1000,3.5869263243856353,19.166132146453766,29,Man
81,602527,250,0.5417651484804474,0.06835507358350701,61,Woman
82,965886,125,0.28351123408320344,0.7458514557217051,41,Woman
83,376542,125,0.6141656867113997,0.09270356407600322,43,Woman
84,481307,250,1.3016094018126199,0.2110701219836142,57,Man
85,715777,250,0.07179619473416454,0.8723648759126292,25,Man
86,247969,125,0.6027685060989417,1.852090443274401,51,Man
87,917289,125,1.0961288218775687,-0.19727510578604734,32,Man
88,438332,125,0.17061798059121386,0.38572182627769414,40,Man
89,191217,1000,0.6052629871674292,0.17903151058850564,50,Woman
90,858720,125,-0.011974726096978456,3.0108792355634777,31,Man
91,506889,125,0.16042801816802568,0.8858463326724103,35,Man
92,270834,1000,0.8228242683865991,28.59865840351976,57,Woman
93,390384,250,0.37291826253819305,0.6858832022736518,34,Man
94,959126,125,0.46713775180869915,-0.212814986257174,42,Man
95,331695,125,0.3625899114854828,0.9991893170598194,26,Man
96,731323,125,-0.021405282197284894,0.9690789367540013,35,Woman
97,509126,125,0.6020026809924504,-0.1580589478783343,29,Man
98,227673,250,0.9921859589045965,0.16888881554022284,38,Man
99,258754,125,0.9862702643323018,0.2843441369864488,42,Man
100,794567,1000,0.08895057812131807,0.47941359077288453,58,Woman
101,725293,1000,1.007303135530852,-0.2601708825213387,31,Woman
102,236755,250,1.7723796680458594,-1.5383858585295025,33,Man
103,116870,125,0.11528632807643897,1.0269905868053386,29,Man
104,574189,1000,0.15276108875262595,0.6362592136724261,28,Woman
105,101170,125,0.106102775483172,1.156877909516134,30,Woman
106,871020,1000,0.34672701667168276,0.5849853017033195,27,Man
107,645304,250,0.6251295073907781,0.631412449052019,59,Woman
108,273125,250,0.0785946310203157,1.9154322312718617,48,Woman
109,476113,250,1.330755375522716,-0.3344629501879428,49,Man
110,157834,125,0.7632664974194651,0.9833531613072912,38,Man
111,996244,125,0.458234425921822,0.22241169933060356,38,Woman
112,343481,250,3.4304343711196714,2.0792802056277893,25,Man
